Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text_1.started,instruct_text_1.stopped,instruct_text_2.started,instruct_text_2.stopped,instruct_text_3.started,instruct_text_3.stopped,instruct_text_4.started,instruct_text_4.stopped,tut_sure.started,tut_sure.stopped,Tutbackdrop.started,Tutbackdrop.stopped,instruct_text_5.started,instruct_text_5.stopped,instruct_text_6.started,instruct_text_6.stopped,Tutbackdrop_2.started,Tutbackdrop_2.stopped,instruct_text_7.started,instruct_text_7.stopped,instruct_text_8.started,instruct_text_8.stopped,TutArrowTop.started,TutArrowTop.stopped,TutArrowBottom.started,TutArrowBottom.stopped,Tutbackdrop_3.started,Tutbackdrop_3.stopped,instruct_text_9.started,instruct_text_9.stopped,instruct_text_10.started,instruct_text_10.stopped,TutArrowTop_2.started,TutArrowTop_2.stopped,TutArrowBottom_2.started,TutArrowBottom_2.stopped,Tutbackdrop_5.started,Tutbackdrop_5.stopped,instruct_text_11.started,instruct_text_11.stopped,instruct_text_12.started,instruct_text_12.stopped,TutArrowTop_3.started,TutArrowTop_3.stopped,instruct_text_13.started,instruct_text_13.stopped,instruct_text_14.started,instruct_text_14.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Red_Square.started,Red_Square.stopped,Blue_Square.started,Blue_Square.stopped,sure.started,sure.stopped,or_text.started,or_text.stopped,Option_One.started,Option_One.stopped,Option_Two.started,Option_Two.stopped,Risk_Text_Top.started,Risk_Text_Top.stopped,Risk_Text_Bottom.started,Risk_Text_Bottom.stopped,Ambiguity_Bar.started,Ambiguity_Bar.stopped,endscreen_text.started,endscreen_text.stopped,finalscore_text.started,finalscore_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,5,0,75,25,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,0,0,4,20.149111000006087,None,20.149111000006087,None,32.72295890003443,None,32.72295890003443,None,32.72295890003443,None,40.21076170000015,None,40.21076170000015,None,40.21076170000015,None,45.22645560000092,None,45.22645560000092,None,45.22645560000092,None,45.22645560000092,None,45.22645560000092,None,52.17479010001989,None,52.17479010001989,None,52.17479010001989,None,52.17479010001989,None,52.17479010001989,None,56.65416149998782,None,56.65416149998782,None,56.65416149998782,None,56.65416149998782,None,63.97400350001408,None,63.97400350001408,None,left,4.728704899956938,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,69.31313680001767,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
-20,-20,0,25,75,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,1,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.500254699960351,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,74.27460689999862,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
-8,-8,0,50,50,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,0,2,2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,6.4501849000225775,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,75.90341080003418,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
-5,-5,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.550895699998364,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,82.44314739998663,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
50,50,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,4,4,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,4.779137899982743,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,86.09042850002879,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
-50,-50,0,50,50,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,5,5,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.5684777999995276,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,90.96216370002367,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
20,20,0,25,75,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,6,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.01876289997017,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,94.62437010003487,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
125,125,0,50,50,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,0,7,7,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,7.356825599970762,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,95.78344690002268,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
-5,-5,0,75,25,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.9883493999950588,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,103.23464540002169,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
125,125,0,50,50,0.325,50,-0.5,0.5,0.5,0.5,0.5,0,9,9,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.8543284999905154,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,105.31121170002734,None,,,,,,001,2020_Apr_12_1941,Tymula Experiment,3.2.3,59.55223861588745,
