Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text_1.started,instruct_text_1.stopped,instruct_text_2.started,instruct_text_2.stopped,instruct_text_3.started,instruct_text_3.stopped,instruct_text_4.started,instruct_text_4.stopped,tut_sure.started,tut_sure.stopped,Tutbackdrop.started,Tutbackdrop.stopped,instruct_text_5.started,instruct_text_5.stopped,instruct_text_6.started,instruct_text_6.stopped,Tutbackdrop_2.started,Tutbackdrop_2.stopped,instruct_text_7.started,instruct_text_7.stopped,instruct_text_8.started,instruct_text_8.stopped,TutArrowTop.started,TutArrowTop.stopped,TutArrowBottom.started,TutArrowBottom.stopped,Tutbackdrop_3.started,Tutbackdrop_3.stopped,instruct_text_9.started,instruct_text_9.stopped,instruct_text_10.started,instruct_text_10.stopped,TutArrowTop_2.started,TutArrowTop_2.stopped,TutArrowBottom_2.started,TutArrowBottom_2.stopped,Tutbackdrop_5.started,Tutbackdrop_5.stopped,instruct_text_11.started,instruct_text_11.stopped,instruct_text_12.started,instruct_text_12.stopped,TutArrowTop_3.started,TutArrowTop_3.stopped,instruct_text_13.started,instruct_text_13.stopped,instruct_text_14.started,instruct_text_14.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Red_Square.started,Red_Square.stopped,Blue_Square.started,Blue_Square.stopped,sure.started,sure.stopped,or_text.started,or_text.stopped,Option_One.started,Option_One.stopped,Option_Two.started,Option_Two.stopped,Risk_Text_Top.started,Risk_Text_Top.stopped,Risk_Text_Bottom.started,Risk_Text_Bottom.stopped,Ambiguity_Bar.started,Ambiguity_Bar.stopped,endscreen_text.started,endscreen_text.stopped,participant,date,expName,psychopyVersion,frameRate,
8,8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,0,0,0,37,16.577364700002363,None,16.577364700002363,None,17.678591700008838,None,17.678591700008838,None,17.678591700008838,None,18.47393559999182,None,18.47393559999182,None,18.47393559999182,None,19.12457769998582,None,19.12457769998582,None,19.12457769998582,None,19.12457769998582,None,19.12457769998582,None,19.767903900006786,None,19.767903900006786,None,19.767903900006786,None,19.767903900006786,None,19.767903900006786,None,20.363223099993775,None,20.363223099993775,None,20.363223099993775,None,20.363223099993775,None,20.789534599985927,None,20.789534599985927,None,left,2.191602499980945,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,21.776902000012342,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-50,-50,0,50,50,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,1,1,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.6762015999993309,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,24.13566410000203,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-5,-5,0,25,75,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.43001700000604615,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,24.92436499998439,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,0,3,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.3513784999959171,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,25.440700899984222,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
5,5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.38509470000281,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,25.87365689998842,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,0,5,5,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.23624109997763298,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,26.351491599984,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
50,50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,0,6,6,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.2556689000048209,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,26.689643899997463,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
8,8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,0,7,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.2033417000202462,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,27.03080469998531,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-8,-8,0,38,62,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,8,8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.24725470002158545,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,27.276466200011782,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
50,50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,0,9,9,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.17994599998928607,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,27.6049750999955,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
